title,name,release_date,popularity,vote_average,vote_count
Operation: Endgame,Thriller,2010-07-20,10.799,4.9,88
Gulliver's Travels,Comedy,2010-12-25,10.768,5.1,1282
Gulliver's Travels,Adventure,2010-12-25,10.768,5.1,1282
Gulliver's Travels,Family,2010-12-25,10.768,5.1,1282
Gulliver's Travels,Fantasy,2010-12-25,10.768,5.1,1282
Legend of the Guardians: The Owls of Ga'Hoole,Animation,2010-09-24,10.754,6.6,1223
Legend of the Guardians: The Owls of Ga'Hoole,Adventure,2010-09-24,10.754,6.6,1223
Legend of the Guardians: The Owls of Ga'Hoole,Family,2010-09-24,10.754,6.6,1223
Legend of the Guardians: The Owls of Ga'Hoole,Fantasy,2010-09-24,10.754,6.6,1223
The Spy Next Door,Action,2010-01-15,10.746,5.7,650
The Spy Next Door,Comedy,2010-01-15,10.746,5.7,650
The Spy Next Door,Family,2010-01-15,10.746,5.7,650
Jackass 3D,Comedy,2010-10-15,10.715,6.3,655
Jackass 3D,Documentary,2010-10-15,10.715,6.3,655
Jackass 3D,Action,2010-10-15,10.715,6.3,655
The Babysitters,Drama,2008-05-09,10.71,5.3,125
District 13: Ultimatum,Action,2010-02-05,10.661,6.1,555
District 13: Ultimatum,Thriller,2010-02-05,10.661,6.1,555
District 13: Ultimatum,Crime,2010-02-05,10.661,6.1,555
[REC]²,Thriller,2010-07-09,10.66,6.5,920
[REC]²,Horror,2010-07-09,10.66,6.5,920
Open Season 3,Adventure,2010-01-25,10.614,5.5,237
Open Season 3,Animation,2010-01-25,10.614,5.5,237
Open Season 3,Family,2010-01-25,10.614,5.5,237
Open Season 3,Comedy,2010-01-25,10.614,5.5,237
Morning Glory,Comedy,2010-11-10,10.595,6.3,717
Morning Glory,Drama,2010-11-10,10.595,6.3,717
Morning Glory,Romance,2010-11-10,10.595,6.3,717
Harry Brown,Thriller,2010-04-30,10.555,6.8,505
Harry Brown,Crime,2010-04-30,10.555,6.8,505
Harry Brown,Drama,2010-04-30,10.555,6.8,505
Harry Brown,Action,2010-04-30,10.555,6.8,505
Cats & Dogs: The Revenge of Kitty Galore,Comedy,2010-07-30,10.544,4.9,273
Cats & Dogs: The Revenge of Kitty Galore,Family,2010-07-30,10.544,4.9,273
Cats & Dogs: The Revenge of Kitty Galore,Action,2010-07-30,10.544,4.9,273
Cats & Dogs: The Revenge of Kitty Galore,Fantasy,2010-07-30,10.544,4.9,273
The Fighter,Drama,2010-12-17,10.395,7.3,2325
9 Songs,Drama,2004-09-09,10.332,4.9,170
9 Songs,Music,2004-09-09,10.332,4.9,170
9 Songs,Romance,2004-09-09,10.332,4.9,170
The Tourist,Action,2010-12-10,10.307,6.1,3133
The Tourist,Thriller,2010-12-10,10.307,6.1,3133
The Tourist,Romance,2010-12-10,10.307,6.1,3133
The Cutting Edge: Fire & Ice,Drama,2010-03-14,10.303,6.0,63
The Cutting Edge: Fire & Ice,Romance,2010-03-14,10.303,6.0,63
Forbidden Planet,Science Fiction,1956-03-15,10.274,7.3,388
Barbie in A Mermaid Tale,Animation,2010-03-01,10.252,6.7,282
Barbie in A Mermaid Tale,Family,2010-03-01,10.252,6.7,282
Barbie in A Mermaid Tale,Fantasy,2010-03-01,10.252,6.7,282
Ip Man,Drama,2010-10-01,10.23,7.7,1906
Ip Man,Action,2010-10-01,10.23,7.7,1906
Ip Man,History,2010-10-01,10.23,7.7,1906
Killers,Action,2010-06-04,10.221,5.8,1314
Killers,Comedy,2010-06-04,10.221,5.8,1314
Killers,Thriller,2010-06-04,10.221,5.8,1314
Killers,Romance,2010-06-04,10.221,5.8,1314
You Again,Comedy,2010-09-24,10.208,6.2,734
You Again,Romance,2010-09-24,10.208,6.2,734
Devil,Horror,2010-09-17,10.203,5.9,1516
Devil,Mystery,2010-09-17,10.203,5.9,1516
Devil,Thriller,2010-09-17,10.203,5.9,1516
The Losers,Action,2010-04-23,10.202,6.2,844
The Losers,Adventure,2010-04-23,10.202,6.2,844
The Losers,Crime,2010-04-23,10.202,6.2,844
The Losers,Mystery,2010-04-23,10.202,6.2,844
The Losers,Thriller,2010-04-23,10.202,6.2,844
Animal Kingdom,Drama,2010-08-13,10.188,6.8,399
Animal Kingdom,Thriller,2010-08-13,10.188,6.8,399
Animal Kingdom,Crime,2010-08-13,10.188,6.8,399
Animal Kingdom,Mystery,2010-08-13,10.188,6.8,399
Wall Street: Money Never Sleeps,Drama,2010-09-20,10.177,6.0,797
Wall Street: Money Never Sleeps,Crime,2010-09-20,10.177,6.0,797
Monsters,Drama,2010-10-29,10.175,6.2,848
Monsters,Thriller,2010-10-29,10.175,6.2,848
Monsters,Science Fiction,2010-10-29,10.175,6.2,848
Hot Tub Time Machine,Science Fiction,2010-03-26,10.15,6.0,1383
Hot Tub Time Machine,Comedy,2010-03-26,10.15,6.0,1383
Hot Tub Time Machine,Adventure,2010-03-26,10.15,6.0,1383
A Matter of Loaf and Death,Animation,2010-02-19,10.1,7.2,219
A Matter of Loaf and Death,Comedy,2010-02-19,10.1,7.2,219
A Matter of Loaf and Death,Family,2010-02-19,10.1,7.2,219
A Matter of Loaf and Death,Crime,2010-02-19,10.1,7.2,219
A Matter of Loaf and Death,Mystery,2010-02-19,10.1,7.2,219
Love & Other Drugs,Drama,2010-11-24,10.09,6.9,2509
Love & Other Drugs,Comedy,2010-11-24,10.09,6.9,2509
Love & Other Drugs,Romance,2010-11-24,10.09,6.9,2509
16 Wishes,Fantasy,2010-06-25,10.068,5.9,688
16 Wishes,Drama,2010-06-25,10.068,5.9,688
16 Wishes,Family,2010-06-25,10.068,5.9,688
Never Let Me Go,Drama,2010-09-15,10.012,6.8,1294
Never Let Me Go,Romance,2010-09-15,10.012,6.8,1294
Never Let Me Go,Science Fiction,2010-09-15,10.012,6.8,1294
It's Kind of a Funny Story,Comedy,2010-10-08,10.01,7.0,1324
It's Kind of a Funny Story,Drama,2010-10-08,10.01,7.0,1324
Eat Pray Love,Drama,2010-08-12,9.991,6.0,1208
Sex and the City 2,Comedy,2010-05-27,9.986,5.9,809
Sex and the City 2,Drama,2010-05-27,9.986,5.9,809
Sex and the City 2,Romance,2010-05-27,9.986,5.9,809
Four Lions,Comedy,2010-11-05,9.968,7.0,621
Four Lions,Crime,2010-11-05,9.968,7.0,621
Four Lions,Drama,2010-11-05,9.968,7.0,621
When in Rome,Comedy,2010-01-29,9.926,5.9,703
When in Rome,Fantasy,2010-01-29,9.926,5.9,703
When in Rome,Romance,2010-01-29,9.926,5.9,703
The Bounty Hunter,Action,2010-03-19,9.861,5.7,1627
The Bounty Hunter,Comedy,2010-03-19,9.861,5.7,1627
The Bounty Hunter,Drama,2010-03-19,9.861,5.7,1627
Winter's Bone,Drama,2010-06-11,9.824,6.9,931
Waiting for Forever,Drama,2010-02-10,9.819,5.7,172
Waiting for Forever,Romance,2010-02-10,9.819,5.7,172
My Soul to Take,Drama,2010-10-08,9.808,5.4,247
My Soul to Take,Horror,2010-10-08,9.808,5.4,247
My Soul to Take,Mystery,2010-10-08,9.808,5.4,247
My Soul to Take,Thriller,2010-10-08,9.808,5.4,247
A Nightmare on Elm Street,Horror,2010-04-30,9.795,5.5,1408
A Nightmare on Elm Street,Mystery,2010-04-30,9.795,5.5,1408
A Nightmare on Elm Street,Thriller,2010-04-30,9.795,5.5,1408
Flipped,Romance,2010-08-06,9.781,7.4,859
Flipped,Drama,2010-08-06,9.781,7.4,859
Let Me In,Drama,2010-10-01,9.716,6.7,1061
Let Me In,Horror,2010-10-01,9.716,6.7,1061
Let Me In,Mystery,2010-10-01,9.716,6.7,1061
Unthinkable,Drama,2010-06-15,9.693,6.7,623
Unthinkable,Thriller,2010-06-15,9.693,6.7,623
Frozen,Thriller,2010-02-05,9.678,5.8,987
